"CUSTOMER NAME",DISTRICT,ISSUE,"INVOICE NO"
"GETWELL MEDICALS - NADAPURAM",Kasaragod,"WEL GEL 30GM",1236
"WELL CARE MEDICALS - MUNDUR",Thiruvananthapuram,"DOLO 500 TAB 15S",1234
